"14066;""bookshop""",,,,,,,
"14175;""gorilla""",,,,,,,
"14176;""genetic""",,,,,,,
"14177;""awaken""",,,,,,,
"14178;""editor""",,,,,,,
"14179;""dice""",,,,,,,
"14180;""tardiness""",,,,,,,
"14181;""tardiness""",,,,,,,
"14182;""chronograph""",,,,,,,
"14183;""chronograph""",,,,,,,
"14184;""flyer""",,,,,,,
"14185;""diffusion""",,,,,,,
"14186;""diffusion""",,,,,,,
"14187;""oeuvre""",,,,,,,
"14188;""biweekly""",,,,,,,
"14189;""periodical""",,,,,,,
"14190;""rattlesnake""",,,,,,,
"14191;""rattlesnake""",,,,,,,
"14192;""galvanic""",,,,,,,
"14193;""chess""",,,,,,,
"14194;""excision""",,,,,,,
"14195;""dial""",,,,,,,
"14196;""scopen""",,,,,,,
"14197;""menstrual""",,,,,,,
"14198;""quarto""",,,,,,,
"14199;""quarto""",,,,,,,
"14200;""slopen""",,,,,,,
"14201;""mirth""",,,,,,,
"14202;""bourgeois""",,,,,,,
"14203;""provocative""",,,,,,,
"14204;""exciting""",,,,,,,
"14205;""scopen""",,,,,,,
"14206;""scopen""",,,,,,,
"14207;""diurnal""",,,,,,,
"14208;""wad""",,,,,,,
"14209;""courses""",,,,,,,
"14210;""vocation""",,,,,,,
"14211;""popen""",,,,,,,
"14212;""bookseller""",,,,,,,
"14213;""lateness""",,,,,,,
"14214;""craps""",,,,,,,
"14215;""uncertainty""",,,,,,,
"14216;""ropen""",,,,,,,
"14217;""construct""",,,,,,,
"14218;""childbirth""",,,,,,,
"14219;""antelopen""",,,,,,,
"14220;""edifice""",,,,,,,
"14221;""endpapers""",,,,,,,
"14222;""betting""",,,,,,,
"14223;""faro""",,,,,,,
"14224;""looming""",,,,,,,
"14225;""produced""",,,,,,,
"14226;""specimen""",,,,,,,
"14227;""producing""",,,,,,,
"14228;""ream""",,,,,,,
"14229;""inflorescence""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,14065
