(8098, 'motive', ['1', '2', '4'])
(9282, 'plague', ['1', '2', '3'])
(3053, 'cushion', ['2', '3', '5'])
(2944, 'criticize', ['10', '3', '5'])
(232, 'advancement', ['4', '2', '6'])
(232, 'advancement', ['2', '2', '6'])
(6145, 'hypothetical', ['5', '2', '4'])
(13614, 'vineyard', ['4', '3', '5'])
(2041, 'chime', ['12', '3', '5'])
(12365, 'synonym', ['11', '2', '5'])
(5936, 'hind', ['3', '2', '4'])
(320, 'agony', ['1', '9', '18'])
(6026, 'horrible', ['1', '2', '4'])
(11305, 'shrimp', ['6', '0', '4'])
(3487, 'diagram', ['1', '3', '10'])
(7560, 'malfeasance', ['7', '2', '5'])
(11714, 'speculum', ['5', '3', '5'])
(6939, 'jubilee', ['6', '0', '4'])
(400, 'allowable', ['5', '2', '11'])
(400, 'allowable', ['4', '2', '11'])
(400, 'allowable', ['2', '2', '11'])
(9825, 'prototype', ['6', '0', '3'])
(330, 'ahead', ['11', '5', '18'])
(8154, 'municipal', ['5', '2', '4'])
(8154, 'municipal', ['3', '2', '4'])
(3301, 'demise', ['1', '4', '6'])
(6319, 'inaction', ['6', '0', '4'])
(4349, 'equality', ['6', '0', '3'])
(4313, 'entirety', ['2', '2', '5'])
(1301, 'blending', ['4', '2', '3'])
(7100, 'lanky', ['5', '2', '5'])
(9313, 'playa', ['2', '2', '3'])
(8887, 'paraphrase', ['6', '0', '5'])
(7321, 'lingual', ['8', '2', '5'])
(8171, 'musician', ['6', '0', '3'])
(4815, 'fever', ['10', '4', '5'])
(437, 'ambassador', ['12', '2', '6'])
(437, 'ambassador', ['2', '2', '6'])
(13997, 'wrinkle', ['5', '2', '5'])
(13997, 'wrinkle', ['12', '2', '5'])
(4182, 'emeritus', ['6', '0', '5'])
(4425, 'ethanol', ['12', '2', '5'])
(851, 'atonement', ['11', '2', '4'])
(11362, 'simmer', ['6', '0', '5'])
(6531, 'infuse', ['6', '0', '4'])
(421, 'altercation', ['1', '2', '4'])
(10416, 'renegade', ['1', '2', '4'])
(13368, 'untidy', ['1', '2', '4'])
(7697, 'matron', ['6', '0', '3'])
(2142, 'class', ['6', '0', '4'])
(10250, 'reef', ['2', '2', '4'])
(6052, 'hour', ['1', '3', '6'])
(12229, 'supervisor', ['6', '0', '5'])
(12583, 'theological', ['11', '3', '5'])
(11580, 'soap', ['11', '3', '4'])
(12918, 'trench', ['3', '4', '5'])
(5166, 'freeze', ['2', '2', '5'])
(9264, 'pistol', ['1', '2', '5'])
(13487, 'vast', ['2', '3', '5'])
(5987, 'homogeneous', ['11', '2', '4'])
(9397, 'polite', ['6', '0', '3'])
(1115, 'beak', ['6', '0', '5'])
(972, 'backbone', ['11', '2', '4'])
(2215, 'clue', ['5', '3', '5'])
(5968, 'holder', ['11', '2', '5'])
(9696, 'procrastination', ['5', '3', '5'])
(9056, 'pentagon', ['6', '0', '4'])
(654, 'appropriation', ['4', '8', '18'])
(7423, 'loop', ['5', '3', '6'])
(4058, 'economy', ['6', '0', '4'])
(11606, 'soldier', ['4', '3', '4'])
(12234, 'supplemental', ['7', '2', '3'])
(7752, 'meek', ['11', '2', '5'])
(3175, 'deceit', ['1', '2', '5'])
(12788, 'touching', ['6', '0', '4'])
(692, 'architecture', ['5', '2', '4'])
(11327, 'sickly', ['6', '0', '5'])
(866, 'attention', ['1', '3', '14'])
(6755, 'intolerant', ['6', '0', '3'])
(552, 'anomaly', ['6', '0', '3'])
(887, 'audacity', ['1', '3', '11'])
(9561, 'preface', ['11', '2', '5'])
(5402, 'gingerly', ['8', '2', '4'])
(2691, 'contravention', ['10', '2', '5'])
(3199, 'decomposition', ['1', '2', '4'])
(11174, 'seventh', ['12', '2', '4'])
(2142, 'class', ['5', '2', '5'])
(981, 'backwater', ['3', '2', '5'])
(6844, 'irritability', ['10', '3', '5'])
(9082, 'performer', ['6', '0', '4'])
(2603, 'consistent', ['2', '2', '3'])
(9857, 'pry', ['1', '2', '3'])
(12635, 'threefold', ['2', '2', '5'])
(13011, 'tun', ['3', '3', '4'])
(11200, 'shaggy', ['3', '2', '4'])
(13845, 'whirlpool', ['2', '2', '5'])
(7515, 'madam', ['8', '4', '5'])
(3206, 'decreasing', ['6', '0', '3'])
(10247, 'redundancy', ['3', '2', '3'])
(2730, 'convocation', ['6', '0', '3'])
(4408, 'essentially', ['6', '0', '4'])
(13997, 'wrinkle', ['5', '2', '5'])
(2394, 'compel', ['10', '2', '5'])
(2394, 'compel', ['2', '2', '5'])
(5016, 'foiled', ['1', '2', '5'])
(5016, 'foiled', ['5', '2', '5'])
(5041, 'footprint', ['3', '3', '6'])
(7144, 'lavender', ['9', '5', '5'])
(8540, 'offhand', ['5', '3', '6'])
(7408, 'lone', ['5', '3', '4'])
(9735, 'prohibit', ['7', '2', '5'])
(2620, 'constipation', ['3', '4', '4'])
(11391, 'sir', ['2', '2', '4'])
(3120, 'daring', ['12', '2', '3'])
(10489, 'rescue', ['6', '0', '4'])
(10553, 'restitution', ['4', '3', '4'])
(5608, 'grotto', ['1', '2', '4'])
(5608, 'grotto', ['3', '2', '4'])
(1063, 'barrel', ['3', '3', '4'])
(6394, 'incorrect', ['6', '0', '4'])
(10639, 'reward', ['6', '0', '1'])
(6442, 'individuality', ['6', '0', '3'])
(12249, 'supreme', ['6', '0', '4'])
(5157, 'fray', ['10', '2', '5'])
(5157, 'fray', ['9', '2', '5'])
(10090, 'rapt', ['6', '0', '1'])
(5000, 'flux', ['6', '0', '3'])
(3637, 'discredit', ['2', '2', '5'])
(526, 'animated', ['12', '4', '18'])
(4440, 'evacuation', ['3', '3', '5'])
(13636, 'viscosity', ['6', '0', '3'])
(11491, 'slop', ['3', '3', '3'])
(13591, 'victorious', ['2', '2', '3'])
(21, 'ability', ['4', '4', '12'])
(4386, 'error', ['1', '3', '4'])
(1388, 'bones', ['11', '5', '5'])
(7501, 'lying', ['5', '2', '6'])
(7501, 'lying', ['3', '2', '6'])
(6324, 'inadequacy', ['1', '2', '5'])
(6324, 'inadequacy', ['5', '2', '5'])
(5173, 'frequency', ['7', '2', '4'])
(12210, 'superficial', ['6', '0', '4'])
(9483, 'potion', ['10', '2', '4'])
(10466, 'reprint', ['1', '2', '5'])
(2510, 'conducive', ['2', '2', '5'])
(10853, 'salary', ['4', '3', '4'])
(11244, 'sheriff', ['2', '2', '5'])
(4462, 'evident', ['11', '2', '6'])
(7083, 'lance', ['10', '3', '5'])
(9082, 'performer', ['12', '2', '4'])
(13566, 'vessel', ['4', '2', '5'])
(11548, 'snake', ['6', '0', '3'])
(10598, 'retroactive', ['9', '2', '3'])
(11510, 'slut', ['10', '3', '4'])
(12158, 'sue', ['6', '0', '4'])
(1979, 'charcoal', ['1', '3', '4'])
(4359, 'equilibration', ['6', '0', '3'])
(7252, 'lever', ['1', '2', '5'])
(13925, 'witness', ['11', '3', '5'])
(4146, 'eloquence', ['6', '0', '4'])
(6225, 'immigration', ['1', '2', '4'])
(6490, 'infection', ['12', '2', '5'])
(5366, 'genteel', ['9', '2', '3'])
(13503, 'vehicle', ['6', '0', '4'])
(2350, 'commissary', ['6', '0', '3'])
(8923, 'participate', ['2', '2', '4'])
(3552, 'dinner', ['6', '0', '4'])
(2995, 'crystal', ['11', '3', '4'])
(12837, 'trance', ['6', '0', '5'])
(2296, 'collocation', ['6', '0', '3'])
(14014, 'yacht', ['11', '2', '4'])
(6319, 'inaction', ['5', '3', '4'])
(5944, 'hire', ['6', '0', '2'])
(12647, 'throne', ['6', '0', '3'])
(6568, 'injurious', ['6', '0', '4'])
(615, 'appalling', ['1', '2', '5'])
(6273, 'implicated', ['5', '2', '4'])
(2981, 'crunch', ['6', '0', '4'])
(4901, 'fitness', ['6', '0', '4'])
(7377, 'lobbyist', ['1', '2', '5'])
(6737, 'interval', ['11', '2', '5'])
(6737, 'interval', ['5', '2', '5'])
(13136, 'unconstitutional', ['11', '2', '5'])
(13136, 'unconstitutional', ['5', '2', '5'])
(580, 'antiquarian', ['9', '2', '6'])
(3139, 'day', ['12', '2', '4'])
(8564, 'ominous', ['1', '2', '3'])
(6235, 'immutable', ['1', '2', '4'])
(5050, 'forceps', ['5', '5', '5'])
(10740, 'roomy', ['6', '0', '3'])
(9660, 'principal', ['5', '2', '5'])
(3518, 'differently', ['6', '0', '5'])
(8233, 'nationality', ['2', '2', '3'])
(12722, 'titular', ['6', '0', '5'])
(2872, 'cracker', ['11', '3', '5'])
(248, 'advised', ['6', '0', '4'])
(1124, 'bearings', ['6', '0', '3'])
(6007, 'hooked', ['5', '2', '4'])
(12861, 'transitional', ['6', '0', '4'])
(13765, 'watercourse', ['2', '2', '3'])
(3017, 'cultivation', ['3', '2', '3'])
(8937, 'pas', ['6', '0', '3'])
(8750, 'overgrown', ['4', '2', '4'])
(17, 'abeyance', ['5', '2', '3'])
(10202, 'recommendation', ['4', '3', '5'])
(12594, 'thermocouple', ['5', '2', '4'])
(4846, 'filings', ['5', '3', '3'])
(910, 'author', ['1', '2', '6'])
(910, 'author', ['4', '2', '6'])
(7437, 'loss', ['1', '2', '5'])
(10244, 'redress', ['2', '2', '5'])
(9624, 'pretext', ['6', '0', '5'])
(1822, 'cartography', ['6', '0', '4'])
(284, 'afford', ['4', '4', '4'])
(8112, 'mourn', ['1', '3', '3'])
(13842, 'whine', ['1', '2', '5'])
(8266, 'nectar', ['12', '3', '4'])
(1841, 'caster', ['5', '2', '5'])
(1841, 'caster', ['9', '2', '5'])
(7442, 'lottery', ['4', '2', '3'])
(6080, 'humble', ['3', '2', '4'])
(3019, 'culvert', ['5', '3', '6'])
(6549, 'inherit', ['4', '2', '4'])
(9124, 'perseverance', ['5', '2', '4'])
(11522, 'smelt', ['5', '2', '5'])
(3663, 'disgusting', ['3', '7', '18'])
(6624, 'inspector', ['6', '0', '3'])
(32, 'aboriginal', ['3', '2', '5'])
(7955, 'missionary', ['11', '2', '3'])
(3387, 'desecration', ['1', '4', '5'])
(11066, 'sedan', ['3', '3', '6'])
(11229, 'shear', ['11', '2', '3'])
(9069, 'perchance', ['7', '2', '4'])
(13292, 'unnecessary', ['12', '2', '3'])
(11321, 'shuttle', ['6', '0', '4'])
(8086, 'mortuary', ['1', '5', '5'])
(448, 'amen', ['11', '4', '7'])
(3391, 'deserve', ['5', '2', '4'])
(5242, 'fungus', ['4', '2', '4'])
(10645, 'rhythm', ['10', '2', '4'])
(3170, 'decade', ['1', '3', '4'])
(13518, 'veneration', ['9', '3', '5'])
(11722, 'spellbound', ['6', '0', '3'])
(1392, 'bonus', ['4', '2', '3'])
(11249, 'shilling', ['12', '2', '5'])
(12195, 'sun', ['12', '2', '2'])
(1623, 'burn', ['10', '4', '8'])
(1623, 'burn', ['7', '4', '8'])
(8150, 'mummy', ['5', '2', '5'])
(1061, 'barrack', ['5', '3', '11'])
(1061, 'barrack', ['3', '3', '11'])
(5750, 'harem', ['10', '2', '5'])
(1665, 'byte', ['5', '2', '3'])
(6261, 'impermissible', ['1', '2', '4'])
(6261, 'impermissible', ['5', '2', '4'])
(9958, 'quadrant', ['1', '2', '5'])
(9958, 'quadrant', ['2', '2', '5'])
(8744, 'overdose', ['1', '2', '3'])
(5511, 'gradient', ['6', '0', '4'])
(3717, 'displeased', ['10', '2', '5'])
(1510, 'bribery', ['4', '2', '5'])
(4705, 'famously', ['6', '0', '4'])
(10829, 'sabotage', ['10', '2', '4'])
(8108, 'mount', ['5', '2', '3'])
(12835, 'tramp', ['3', '2', '3'])
(10248, 'redundant', ['3', '2', '4'])
(7167, 'league', ['7', '2', '4'])
(2898, 'crazy', ['6', '0', '5'])
(12536, 'termination', ['10', '2', '4'])
(8560, 'olive', ['4', '4', '4'])
(4650, 'fabric', ['5', '2', '5'])
(7878, 'milky', ['11', '4', '4'])
(12512, 'tendency', ['2', '2', '4'])
(12512, 'tendency', ['8', '2', '4'])
(8211, 'nameless', ['5', '3', '5'])
(4736, 'fat', ['3', '2', '4'])
(7613, 'manslaughter', ['1', '3', '6'])
(1748, 'canopy', ['11', '2', '5'])
(3789, 'divan', ['6', '0', '6'])
(413, 'alongside', ['11', '3', '12'])
(9874, 'publicist', ['1', '2', '4'])
(4954, 'flexibility', ['6', '0', '5'])
(6323, 'inactivity', ['5', '2', '5'])
(11442, 'slam', ['10', '2', '4'])
(5751, 'harlot', ['10', '3', '5'])
(1132, 'beautiful', ['9', '3', '8'])
(4913, 'flaccid', ['5', '2', '4'])
(11733, 'spicy', ['10', '4', '5'])
(4632, 'extraneous', ['1', '2', '4'])
(4632, 'extraneous', ['5', '2', '4'])
(9399, 'politic', ['6', '0', '3'])
(591, 'anxiety', ['4', '2', '5'])
(12883, 'trappings', ['6', '0', '3'])
(101, 'accountable', ['10', '3', '8'])
(8780, 'overwhelmed', ['6', '0', '3'])
(689, 'archetype', ['11', '2', '6'])
(2935, 'crimson', ['10', '4', '6'])
(9527, 'precept', ['11', '2', '5'])
(7637, 'marketplace', ['6', '0', '4'])
(7512, 'machinist', ['5', '2', '4'])
(11011, 'scribe', ['1', '3', '5'])
(12123, 'substantive', ['6', '0', '4'])
(10700, 'rivalry', ['1', '2', '5'])
(4724, 'farmhouse', ['10', '2', '3'])
(13046, 'twine', ['6', '0', '4'])
(2102, 'circulate', ['10', '2', '4'])
(4140, 'ellipsis', ['5', '3', '3'])
(7411, 'lonesome', ['5', '3', '5'])
(4595, 'export', ['6', '0', '3'])
(133, 'acoustics', ['5', '2', '6'])
(9396, 'polished', ['11', '3', '4'])
(4418, 'estranged', ['3', '3', '5'])
(6186, 'illegitimate', ['12', '2', '4'])
(7647, 'marry', ['11', '3', '4'])
(10160, 'rebut', ['10', '3', '4'])
(1857, 'catch', ['6', '0', '3'])
(13864, 'wicked', ['1', '4', '5'])
(3701, 'disparage', ['3', '2', '4'])
(5640, 'guess', ['5', '2', '5'])
(3008, 'cull', ['6', '0', '3'])
(7974, 'moat', ['3', '2', '4'])
(2981, 'crunch', ['10', '2', '5'])
(2981, 'crunch', ['3', '2', '5'])
(8055, 'moorings', ['3', '2', '3'])
(6666, 'insurrection', ['10', '2', '5'])
(13531, 'venue', ['6', '0', '3'])
(13010, 'tumultuous', ['1', '2', '5'])
(9297, 'planter', ['3', '3', '4'])
(7121, 'late', ['6', '0', '5'])
(14020, 'yarn', ['7', '3', '4'])
(2290, 'collector', ['2', '2', '4'])
(12493, 'temperament', ['5', '6', '16'])
(6573, 'inland', ['3', '3', '3'])
(11789, 'spotty', ['6', '0', '4'])
(5665, 'guru', ['12', '2', '4'])
(5665, 'guru', ['7', '2', '4'])
(10161, 'recalcitrant', ['6', '0', '3'])
(3309, 'demonstrate', ['6', '0', '4'])
(5945, 'hirsute', ['3', '6', '6'])
(3500, 'dichotomy', ['3', '3', '5'])
(9107, 'permitted', ['4', '2', '5'])
(1056, 'barn', ['10', '3', '5'])
(7445, 'loudly', ['6', '0', '3'])
(3987, 'dungeon', ['1', '4', '5'])
(9694, 'proclaim', ['10', '2', '5'])
(9694, 'proclaim', ['12', '2', '5'])
(13804, 'weep', ['2', '2', '4'])
(8454, 'obey', ['11', '3', '4'])
(9352, 'plumb', ['5', '2', '5'])
(1323, 'blockade', ['6', '0', '4'])
(7217, 'leisurely', ['11', '2', '3'])
(12885, 'trash', ['3', '3', '7'])
(5587, 'grin', ['6', '0', '1'])
(13706, 'waist', ['1', '2', '5'])
(12391, 'tackle', ['6', '0', '3'])
(74, 'accent', ['7', '4', '12'])
(12595, 'thermodynamics', ['10', '4', '4'])
(4650, 'fabric', ['5', '2', '8'])
(4650, 'fabric', ['4', '2', '8'])
(4650, 'fabric', ['8', '2', '8'])
(291, 'afresh', ['11', '4', '7'])
(5117, 'fortress', ['1', '2', '4'])
(7370, 'loam', ['3', '4', '4'])
(1505, 'breve', ['6', '0', '3'])
(5595, 'gritty', ['3', '2', '4'])
(5811, 'healthful', ['6', '0', '2'])
(4823, 'fickle', ['6', '0', '3'])
(12948, 'trinity', ['6', '0', '3'])
(3947, 'drought', ['3', '5', '5'])
(2004, 'cheat', ['1', '2', '5'])
(6510, 'infirmity', ['6', '0', '5'])
(13004, 'tulip', ['6', '0', '3'])
(7192, 'leery', ['5', '2', '4'])
(4004, 'dwarf', ['5', '2', '5'])
(4004, 'dwarf', ['3', '2', '5'])
(2413, 'complement', ['6', '0', '1'])
(9297, 'planter', ['4', '3', '5'])
(7392, 'locomotive', ['1', '2', '4'])
(7128, 'latitude', ['11', '3', '11'])
(1549, 'brother', ['6', '0', '4'])
(3470, 'devise', ['6', '0', '4'])
(6334, 'inattention', ['5', '2', '5'])
(6640, 'instinctive', ['6', '0', '5'])
(7197, 'legacy', ['6', '0', '4'])
(723, 'army', ['4', '8', '14'])
(4111, 'elder', ['3', '3', '4'])
(7646, 'marrow', ['3', '2', '5'])
(6361, 'incision', ['10', '2', '5'])
(6361, 'incision', ['3', '2', '5'])
(13418, 'urchin', ['6', '0', '3'])
(8089, 'mosquito', ['10', '2', '5'])
(10484, 'requirement', ['6', '0', '5'])
(10402, 'remodel', ['3', '2', '4'])
(11350, 'silk', ['11', '2', '4'])
(6314, 'impurity', ['3', '3', '5'])
(6859, 'item', ['5', '2', '5'])
(4045, 'eating', ['4', '2', '5'])
(60, 'absurd', ['10', '3', '14'])
(60, 'absurd', ['12', '3', '14'])
(6072, 'hulk', ['6', '0', '4'])
(10790, 'rudiments', ['6', '0', '5'])
(11081, 'seeker', ['12', '2', '5'])
(1328, 'bloodshed', ['10', '4', '4'])
(4381, 'errand', ['4', '2', '6'])
(8875, 'paraffin', ['1', '3', '4'])
(4315, 'entity', ['11', '2', '6'])
(4315, 'entity', ['5', '2', '6'])
(11395, 'sister', ['8', '3', '5'])
(10764, 'roundabout', ['6', '0', '5'])
(988, 'badness', ['1', '7', '11'])
(9448, 'portage', ['6', '0', '3'])
(5996, 'honey', ['12', '2', '5'])
(4548, 'expand', ['6', '0', '4'])
(2663, 'continent', ['4', '3', '5'])
(13827, 'wharf', ['5', '2', '3'])
(9990, 'quaternary', ['3', '2', '3'])
(10953, 'scattered', ['6', '0', '3'])
(10953, 'scattered', ['6', '0', '3'])
(4982, 'fluctuate', ['11', '2', '5'])
(10481, 'request', ['5', '3', '6'])
(10417, 'renewal', ['4', '2', '4'])
(2075, 'chronic', ['6', '0', '3'])
(13281, 'unlucky', ['1', '3', '5'])
(8039, 'monopoly', ['1', '2', '5'])
(5204, 'frostbite', ['1', '2', '5'])
(4033, 'earth', ['3', '2', '4'])
(9091, 'periodicity', ['11', '2', '5'])
(9091, 'periodicity', ['2', '2', '5'])
(6549, 'inherit', ['4', '2', '5'])
(11497, 'slough', ['4', '2', '4'])
(11497, 'slough', ['8', '2', '4'])
(2706, 'convention', ['5', '2', '4'])
(2328, 'comfort', ['6', '0', '4'])
(7729, 'medal', ['10', '2', '7'])
(7729, 'medal', ['12', '2', '7'])
(9461, 'posse', ['10', '2', '5'])
(12357, 'synagogue', ['12', '2', '5'])
(9857, 'pry', ['12', '2', '4'])
(3544, 'dimension', ['2', '2', '5'])
(12867, 'translucent', ['11', '4', '5'])
(10892, 'sarcasm', ['6', '0', '5'])
(10396, 'reminder', ['5', '2', '3'])
(4479, 'examine', ['6', '0', '5'])
(4297, 'ensue', ['6', '0', '5'])
(528, 'animosity', ['10', '3', '6'])
(8942, 'passe', ['5', '2', '4'])
(10754, 'rotate', ['6', '0', '6'])
(12902, 'treasure', ['12', '4', '5'])
(1206, 'betray', ['6', '0', '5'])
(13743, 'warped', ['1', '2', '5'])
(3995, 'durable', ['2', '2', '4'])
(1832, 'cash', ['6', '0', '1'])
(4643, 'eye', ['2', '3', '4'])
(6183, 'illegality', ['6', '0', '4'])
(4815, 'fever', ['10', '4', '4'])
(9076, 'perfection', ['11', '2', '5'])
(9748, 'prolongation', ['6', '0', '4'])
(7252, 'lever', ['5', '2', '5'])
(8912, 'parrot', ['10', '2', '5'])
(8912, 'parrot', ['4', '2', '5'])
(11601, 'sojourn', ['6', '0', '3'])
(7658, 'masculine', ['2', '2', '4'])
(7635, 'market', ['4', '2', '4'])
(3012, 'culpable', ['1', '2', '3'])
(8079, 'mortal', ['6', '0', '4'])
(7549, 'major', ['10', '2', '5'])
(10467, 'reprisal', ['10', '3', '4'])
(1470, 'braid', ['3', '4', '5'])
(12908, 'treaty', ['12', '2', '3'])
(12381, 'tablespoon', ['5', '2', '4'])
(7606, 'manly', ['2', '4', '9'])
(6044, 'hostage', ['1', '2', '5'])
(6044, 'hostage', ['10', '2', '5'])
(4363, 'equitable', ['6', '0', '3'])
(4550, 'expanse', ['12', '2', '5'])
(3309, 'demonstrate', ['6', '0', '3'])
(102, 'accountant', ['5', '3', '13'])
(6778, 'invade', ['10', '2', '5'])
(6778, 'invade', ['12', '2', '5'])
(2406, 'competitor', ['10', '3', '5'])
(11743, 'spine', ['11', '2', '5'])
(11743, 'spine', ['10', '2', '5'])
(10281, 'refuge', ['6', '0', '4'])
(5378, 'german', ['6', '0', '3'])
(4675, 'fain', ['12', '2', '3'])
(6101, 'hunk', ['3', '2', '3'])
(6022, 'horizontally', ['5', '2', '5'])
(5262, 'future', ['7', '2', '5'])
(2398, 'compensate', ['4', '3', '3'])
(11325, 'sickening', ['12', '2', '5'])
(6657, 'insular', ['5', '3', '12'])
(1798, 'caress', ['11', '2', '3'])
(8964, 'patent', ['4', '2', '6'])
(7864, 'mien', ['9', '2', '5'])
(2258, 'cognate', ['10', '2', '5'])
(6117, 'husk', ['6', '0', '3'])
(6389, 'inconspicuous', ['11', '3', '5'])
(9792, 'proportions', ['6', '0', '3'])
(12049, 'struggle', ['1', '3', '4'])
(9083, 'perfume', ['8', '3', '5'])
(5855, 'heir', ['9', '2', '4'])
(8321, 'nib', ['5', '4', '12'])
(11065, 'security', ['11', '3', '5'])
(7459, 'lowly', ['5', '3', '5'])
(7757, 'melee', ['10', '2', '4'])
(5772, 'hasty', ['6', '0', '5'])
(4304, 'enterprising', ['6', '0', '5'])
(6007, 'hooked', ['6', '0', '4'])
(2319, 'combative', ['10', '2', '4'])
(10892, 'sarcasm', ['4', '2', '5'])
(3304, 'demolish', ['1', '2', '3'])
(13373, 'untouched', ['6', '0', '5'])
(4619, 'extermination', ['1', '5', '5'])
(11768, 'spoiler', ['1', '2', '3'])
(12592, 'therewith', ['6', '0', '4'])
(2178, 'clientele', ['5', '2', '4'])
(12150, 'succumb', ['2', '2', '5'])
(13708, 'wait', ['6', '0', '5'])
(12868, 'transmission', ['6', '0', '5'])
(6410, 'indefensible', ['1', '4', '20'])
(6410, 'indefensible', ['5', '4', '20'])
(1856, 'catastrophe', ['10', '2', '5'])
(1856, 'catastrophe', ['9', '2', '5'])
(9046, 'penetrating', ['2', '2', '4'])
(4695, 'falsify', ['1', '2', '3'])
(4451, 'event', ['6', '0', '5'])
(10507, 'residual', ['1', '2', '5'])
(10507, 'residual', ['12', '2', '5'])
(10352, 'relapse', ['6', '0', '6'])
(2913, 'credible', ['2', '2', '3'])
(1760, 'cape', ['3', '2', '3'])
(11587, 'sociable', ['7', '2', '4'])
(11204, 'shaky', ['6', '0', '4'])
(4483, 'excavation', ['12', '2', '4'])
(4483, 'excavation', ['3', '2', '4'])
(6321, 'inactivation', ['6', '0', '3'])
(12647, 'throne', ['9', '2', '4'])
(7755, 'melancholic', ['2', '3', '5'])
(9936, 'pursuit', ['6', '0', '4'])
(886, 'audacious', ['7', '3', '4'])
(5785, 'haven', ['6', '0', '3'])
(143, 'acres', ['4', '3', '5'])
(4522, 'exemption', ['6', '0', '4'])
(4962, 'fling', ['4', '2', '4'])
(4965, 'flirt', ['6', '0', '2'])
(7671, 'masterpiece', ['6', '0', '4'])
(2928, 'crew', ['6', '0', '4'])
(4624, 'extra', ['5', '2', '5'])
(6250, 'impede', ['6', '0', '5'])
(5697, 'hall', ['5', '4', '10'])
(3923, 'dreary', ['5', '3', '5'])
(6326, 'inadmissible', ['5', '2', '4'])
(5438, 'gloomy', ['1', '3', '5'])
