word,joy,sadness,fear,anger,trust,disgust,surprise,anticipation
assail,0,0,0,2,0,2,1,0
assail,0,2,2,2,0,0,0,0
assail,0,0,3,3,0,0,2,0
tableware,0,0,0,0,0,0,0,0
tableware,0,0,0,0,0,0,0,0
tableware,0,0,0,0,1,0,0,1
tableware,0,0,0,0,0,0,0,0
tableware,0,0,0,0,0,0,0,0
due,0,0,0,0,0,0,0,1
due,0,1,1,0,0,0,0,0
due,0,1,2,2,3,0,1,2
due,0,0,0,0,1,0,0,1
ditty,0,0,0,0,0,0,0,0
ditty,0,0,0,0,0,0,0,0
ditty,1,0,0,0,0,0,0,0
drainage,0,0,0,0,0,0,0,0
drainage,0,0,0,0,0,2,0,0
drainage,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
personnel,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,0,0
bomber,0,1,2,0,0,0,0,0
bomber,0,2,3,1,0,0,0,1
bomber,0,0,2,0,0,0,1,1
bomber,0,2,3,2,1,0,2,2
wrap,0,0,0,0,0,0,0,0
wrap,0,0,0,0,2,0,0,0
wrap,1,0,0,0,0,0,0,0
wrap,1,0,0,0,0,0,0,0
wrap,0,0,0,0,0,0,0,0
transcendental,0,0,0,0,0,0,0,0
transcendental,1,0,0,0,0,0,0,0
transcendental,1,0,0,0,0,0,1,0
transcendental,0,0,0,0,0,0,0,0
regrettable,0,3,2,2,0,3,0,0
regrettable,0,3,3,2,0,2,0,2
regrettable,0,2,1,1,1,1,0,0
regrettable,0,2,0,1,0,1,0,0
regrettable,0,0,0,0,0,0,0,0
telephone,0,0,0,0,0,0,0,0
telephone,0,0,0,0,0,0,0,0
telephone,0,0,0,0,0,0,1,1
telephone,0,0,0,0,0,0,0,0
telephone,0,0,0,0,0,0,1,1
unbridled,0,0,2,3,0,0,0,0
unbridled,0,0,0,0,0,0,0,0
unbridled,0,2,1,2,1,1,3,2
unbridled,1,0,0,3,0,0,2,0
incite,0,0,1,1,0,0,0,0
incite,0,0,2,3,0,1,2,3
incite,0,3,3,3,0,2,1,2
incite,0,0,1,2,0,0,1,0
curse,0,1,3,3,0,2,0,0
curse,0,1,2,1,0,0,0,0
curse,0,0,1,3,0,0,0,0
curse,0,0,2,0,0,0,0,0
mangle,0,0,3,2,0,3,0,0
mangle,0,2,2,1,0,1,0,0
mangle,0,1,2,2,0,2,0,0
mangle,0,2,2,2,1,2,2,1
whimsy,0,0,0,0,0,1,0,2
whimsy,0,0,0,0,0,0,0,0
whimsy,0,0,0,0,0,0,0,0
buss,0,0,0,0,0,0,0,0
buss,1,0,0,0,0,0,0,0
buss,1,0,0,0,0,0,0,0
herewith,0,0,0,0,0,0,0,0
herewith,1,0,0,0,1,0,0,1
herewith,0,0,0,0,0,0,0,0
herewith,0,0,0,0,0,0,0,0
herewith,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,1,0,0
aerodynamics,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,2,0,0,1
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,1
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,2,0
anterior,0,0,0,0,1,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0
impunity,0,2,1,3,0,3,0,0
impunity,1,0,0,0,0,0,0,0
impunity,0,0,0,0,0,0,0,0
impunity,0,0,0,0,0,0,0,0
impunity,1,0,1,0,1,0,1,2
investigation,1,2,2,2,2,0,1,3
investigation,0,0,0,0,0,0,0,1
investigation,0,0,1,1,0,0,0,2
investigation,0,0,0,0,0,0,0,0
aboard,0,0,0,0,0,0,0,0
aboard,0,0,0,0,1,0,0,1
aboard,0,0,0,0,1,0,0,0
aboard,0,0,0,0,0,0,0,0
aboard,0,0,0,0,0,0,0,0
neophyte,0,0,0,0,0,0,0,0
neophyte,1,0,0,0,1,3,2,3
neophyte,0,0,0,0,0,0,0,0
neophyte,0,0,0,0,0,0,0,0
kneeling,0,0,1,1,0,1,0,1
kneeling,1,2,2,2,1,1,1,1
kneeling,0,0,0,0,0,0,0,0
kneeling,0,0,0,0,0,0,0,0
aisle,0,0,1,0,0,1,0,0
aisle,1,0,0,0,0,0,0,2
aisle,0,0,0,0,1,0,0,0
aisle,0,0,0,0,0,0,0,0
aisle,0,2,1,1,2,2,1,1
aisle,0,0,0,0,0,0,0,0
aisle,0,0,0,0,0,0,0,0
aisle,0,0,0,0,2,0,0,0
aisle,0,0,0,0,0,0,0,0
clutch,0,0,0,0,0,0,0,0
clutch,0,0,1,1,0,0,0,1
clutch,0,0,0,0,0,0,0,0
clutch,0,0,0,0,0,0,0,0
immortal,0,0,0,0,0,0,0,2
immortal,0,0,0,0,0,0,0,0
immortal,0,0,0,0,0,0,0,0
groom,0,0,0,0,0,0,0,0
groom,0,0,0,0,0,0,0,0
groom,0,0,0,0,0,0,0,0
groom,0,0,0,0,0,0,0,0
groom,0,0,0,0,0,0,0,0
flex,0,0,0,0,0,0,0,0
flex,0,0,0,0,0,0,0,0
flex,0,0,0,0,0,0,0,0
flex,0,0,0,0,0,0,0,0
cessation,0,0,0,0,0,0,0,0
cessation,0,0,0,0,0,0,0,0
cessation,0,3,1,0,0,1,2,0
cessation,0,0,1,0,0,0,0,0
maintenance,0,0,0,0,0,0,0,0
maintenance,0,0,1,0,2,0,1,1
maintenance,0,0,0,0,0,0,0,0
maintenance,0,0,0,0,2,0,0,0
lustrous,1,0,0,0,0,0,0,0
lustrous,0,0,0,0,0,0,0,0
lustrous,1,0,0,0,0,0,0,0
unoccupied,0,2,0,1,0,1,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,1,0,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,2,1,1,1,0,0,2
unoccupied,0,0,0,0,0,0,0,0
unoccupied,1,1,1,1,1,1,0,1
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,2,1,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
unoccupied,1,1,1,0,0,0,2,2
unoccupied,0,0,0,0,0,0,0,0
unoccupied,0,0,0,0,0,0,0,0
miscellaneous,0,0,0,0,0,0,0,0
miscellaneous,0,0,0,0,0,0,0,0
miscellaneous,0,0,0,0,0,0,1,1
miscellaneous,0,0,0,0,0,0,1,0
miscellaneous,0,0,0,0,0,0,0,0
clam,0,0,0,0,0,0,0,0
clam,0,2,0,0,0,0,0,0
clam,0,0,0,0,1,0,0,0
clam,0,0,1,0,0,1,0,0
clam,0,0,1,1,0,2,0,0
reliable,0,0,0,0,3,0,0,0
reliable,0,0,0,0,3,0,0,0
reliable,0,0,0,0,2,0,0,0
accurate,0,0,0,0,2,0,0,0
accurate,1,0,0,0,1,0,0,1
accurate,0,0,0,0,3,0,0,0
accurate,0,0,0,0,0,0,0,0
accurate,0,0,0,0,2,0,0,0
accurate,1,2,0,3,1,3,1,3
accurate,1,1,2,2,3,1,2,2
accurate,1,0,0,0,3,0,0,0
accurate,1,0,0,0,3,0,0,0
cautionary,0,0,2,0,1,0,1,1
cautionary,0,0,0,0,0,0,0,0
cautionary,0,0,2,0,0,0,0,0
cautionary,0,2,3,2,0,2,1,2
cautionary,0,1,2,0,2,0,1,2
add,1,0,0,0,3,0,2,3
add,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0
add,1,0,0,0,0,0,0,1
add,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0
add,1,0,0,1,0,0,2,2
kidnap,0,0,0,0,0,0,0,0
kidnap,0,1,1,1,0,0,0,0
kidnap,0,3,3,3,0,2,1,0
kidnap,0,0,1,1,0,0,0,0
kidnap,0,1,2,1,0,0,0,0
sand,1,1,0,0,0,0,0,0
sand,0,0,0,0,0,0,0,0
sand,0,0,0,0,0,0,0,0
sand,1,0,0,0,0,0,0,0
safe,0,0,0,0,0,0,0,0
safe,1,0,0,0,3,0,0,1
safe,0,0,1,0,2,0,0,0
safe,0,0,1,0,2,0,0,1
modifiable,0,0,0,0,0,0,0,0
modifiable,0,0,0,0,0,0,0,0
modifiable,0,0,0,0,0,0,0,0
modifiable,0,0,0,0,1,0,1,1
perjury,0,0,0,0,0,0,0,0
perjury,0,0,0,0,0,0,0,0
perjury,0,3,3,2,3,3,3,2
perjury,0,2,2,1,3,1,3,1
perjury,0,1,3,1,0,2,2,0
hour,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,0,1
hour,0,0,1,0,0,0,0,1
hour,0,0,0,0,0,0,0,0
hour,1,1,0,1,0,0,0,1
hour,0,0,1,0,3,0,0,2
silly,1,0,0,0,0,0,0,0
silly,0,0,0,0,0,0,0,0
silly,0,0,0,0,0,0,0,0
silly,0,1,1,1,0,1,0,0
thesaurus,0,0,0,0,0,0,0,0
thesaurus,0,0,0,0,0,0,0,0
thesaurus,1,0,0,0,1,0,0,0
thesaurus,0,0,0,0,0,0,0,0
thesaurus,0,0,0,0,0,0,0,0
unsatisfactory,0,1,0,1,2,1,0,0
unsatisfactory,0,1,0,0,0,0,0,0
unsatisfactory,0,2,0,0,0,2,0,0
unsatisfactory,0,2,1,3,3,3,1,1
unsatisfactory,0,0,3,1,0,3,0,2
category,0,0,0,0,0,0,0,0
category,0,0,0,0,1,0,0,0
category,0,0,0,0,0,0,0,0
contraband,0,0,2,0,0,1,1,0
contraband,0,0,2,1,0,2,0,0
contraband,0,0,2,1,3,3,3,1
subtlety,1,1,1,1,1,1,1,1
subtlety,1,2,0,0,0,0,0,0
subtlety,0,0,0,0,2,0,0,0
subtlety,0,0,0,0,0,0,0,0
pendency,0,0,0,0,0,0,0,0
pendency,0,0,0,0,0,0,0,0
pendency,0,0,0,0,0,0,0,0
pendency,0,0,1,0,0,0,0,2
pendency,0,1,2,1,0,0,0,3
thunder,0,0,1,0,0,0,1,0
thunder,0,0,1,0,0,0,0,0
thunder,0,0,1,1,0,0,0,0
thunder,0,0,1,1,0,0,1,0
equal,0,0,0,0,0,0,0,0
equal,0,0,0,0,0,0,0,0
equal,0,0,0,0,2,0,0,0
uncover,0,0,1,0,0,0,1,2
uncover,0,0,0,0,0,0,0,0
uncover,0,1,1,0,0,2,2,0
uncover,0,0,0,0,0,0,2,1
teaser,0,0,0,0,0,0,0,0
teaser,0,0,0,0,0,0,0,0
teaser,0,0,0,0,0,0,0,0
builder,0,0,0,0,2,0,0,0
builder,0,0,0,0,0,0,0,0
builder,0,0,0,0,0,0,0,0
builder,0,1,1,0,0,1,2,0
builder,0,0,0,0,2,0,0,2
cancer,0,2,3,0,0,1,1,0
cancer,0,1,1,1,0,1,1,0
cancer,0,2,2,2,0,0,1,1
murmur,0,0,0,0,0,0,0,1
murmur,0,1,1,1,0,1,0,0
murmur,0,0,1,0,0,0,0,0
subsist,0,1,0,0,0,0,0,0
subsist,0,0,0,0,0,0,0,0
subsist,0,0,0,0,0,0,0,0
subsist,0,0,0,0,0,0,0,0
pertinent,0,0,0,0,2,0,0,3
pertinent,0,1,0,0,1,0,2,1
pertinent,1,0,0,0,2,0,0,0
pertinent,0,0,0,0,0,0,0,0
starry,2,0,1,0,1,0,0,2
starry,2,1,1,0,1,0,2,2
starry,2,0,0,0,1,0,0,0
plague,0,2,0,0,0,0,1,0
plague,0,3,3,0,0,3,0,0
plague,0,2,3,1,0,2,0,0
cushion,0,1,0,0,0,0,0,0
cushion,0,0,0,0,1,0,0,0
cushion,0,0,0,0,0,0,0,0
cushion,1,0,0,0,2,0,0,0
cushion,1,1,1,1,1,1,1,1
criticize,0,2,2,2,2,2,1,0
criticize,0,3,3,3,0,3,1,0
criticize,0,0,1,1,0,1,0,0
criticize,0,2,0,1,0,0,1,0
criticize,0,1,1,1,0,1,0,0
advancement,1,0,0,0,0,0,0,1
advancement,0,0,0,0,0,0,0,0
advancement,0,0,0,0,1,0,1,1
advancement,0,0,0,0,1,0,0,0
advancement,1,0,1,0,0,0,0,1
advancement,0,0,0,0,0,0,0,0
hypothetical,0,0,0,0,0,0,0,0
hypothetical,0,0,0,0,0,0,0,2
hypothetical,0,1,0,0,0,0,0,1
hypothetical,0,0,0,0,0,0,0,0
vineyard,0,0,0,0,0,0,0,0
vineyard,0,0,0,0,0,0,0,0
vineyard,1,0,0,0,0,0,0,0
vineyard,0,0,0,0,0,0,0,0
vineyard,0,1,0,0,0,0,0,0
chime,1,1,0,0,0,0,0,0
chime,1,0,0,0,0,0,0,0
chime,1,0,0,0,0,0,0,0
chime,0,0,0,0,0,0,0,0
chime,1,0,0,0,0,0,0,0
synonym,0,0,0,0,0,0,0,0
synonym,0,0,0,0,0,0,0,0
synonym,0,0,0,0,0,0,0,0
synonym,0,0,0,0,0,0,0,0
synonym,0,0,0,0,0,0,0,0
hind,0,0,0,0,0,0,0,0
hind,0,0,0,0,0,1,0,0
hind,0,0,0,0,0,0,0,0
hind,0,0,0,0,0,0,0,0
agony,0,2,0,1,0,0,0,0
agony,0,3,3,3,0,2,2,2
agony,0,2,1,1,0,0,0,0
agony,0,3,2,2,0,1,0,0
agony,0,3,3,3,0,3,0,1
agony,0,3,3,3,0,2,0,0
agony,0,3,3,3,0,3,0,0
agony,0,3,3,3,1,1,0,0
agony,0,3,0,2,0,0,0,0
agony,0,1,1,1,0,0,0,0
agony,0,3,2,2,1,2,1,1
agony,0,3,3,3,0,2,2,2
agony,0,3,3,3,0,2,0,0
agony,0,2,0,0,0,0,0,0
agony,0,1,2,0,0,0,0,0
agony,0,2,1,0,0,1,0,1
agony,0,1,2,1,0,0,0,0
agony,0,3,0,0,0,0,0,0
horrible,0,0,2,0,0,2,0,0
horrible,0,0,1,1,0,0,0,0
horrible,0,0,3,0,0,2,0,2
horrible,0,2,3,2,0,1,1,0
shrimp,0,1,2,1,1,3,1,0
shrimp,0,0,0,0,0,0,0,0
shrimp,1,1,0,0,0,0,0,0
shrimp,0,0,0,0,0,0,0,0
victory,3,0,0,0,0,0,0,0
victory,3,1,0,0,1,1,2,2
victory,3,0,0,0,2,0,0,3
victory,3,0,0,0,2,0,1,3
diagram,0,0,0,0,1,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,1,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
malfeasance,1,0,0,0,0,0,0,1
malfeasance,0,0,0,0,0,0,0,0
malfeasance,0,1,0,2,0,2,0,0
malfeasance,0,0,1,1,1,2,0,0
malfeasance,0,0,1,1,0,2,0,0
speculum,0,0,0,0,2,0,0,0
speculum,0,0,0,0,0,0,0,0
speculum,0,0,0,0,1,0,0,0
speculum,0,0,1,0,0,1,0,0
speculum,0,0,1,0,0,0,0,0
allowable,1,0,0,0,0,0,0,0
allowable,0,0,0,0,1,0,0,0
allowable,1,0,0,0,0,0,0,0
allowable,0,0,0,0,0,0,0,0
allowable,0,0,0,0,0,0,0,0
allowable,0,0,0,0,1,0,0,1
allowable,0,0,0,0,0,0,0,0
allowable,0,0,0,0,0,0,0,0
allowable,0,0,0,0,1,0,0,0
prototype,0,0,0,0,0,0,0,1
prototype,0,0,0,0,0,0,0,0
prototype,0,0,0,0,1,0,0,0
gain,2,0,0,0,2,0,2,3
gain,2,0,0,0,0,0,0,0
gain,2,0,0,0,1,0,0,1
gain,2,0,0,0,0,0,0,0
gain,2,0,0,0,0,0,1,1
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,1,1,1,1,1,1,1,1
ahead,0,0,0,0,0,0,1,1
ahead,1,0,0,0,0,0,0,2
ahead,0,0,0,0,0,0,0,0
ahead,1,0,0,0,0,0,0,1
ahead,1,0,0,0,2,0,0,1
ahead,0,0,0,0,0,0,0,0
ahead,1,0,0,0,1,0,0,0
ahead,0,0,0,0,2,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
ahead,0,0,0,0,0,0,0,0
municipal,0,0,0,0,1,0,0,0
municipal,0,0,0,0,0,0,0,0
municipal,0,0,0,0,0,0,0,0
municipal,1,0,2,2,2,2,0,0
demise,0,2,2,2,0,2,0,1
demise,0,0,0,0,0,0,0,0
demise,0,3,1,0,0,0,2,2
demise,0,2,2,2,0,0,1,1
demise,0,2,1,0,0,0,0,0
demise,0,0,0,0,0,0,0,0
entirety,0,0,0,0,1,0,0,0
entirety,0,0,0,0,0,0,0,0
entirety,0,0,0,0,1,0,0,0
entirety,0,0,0,0,0,0,0,0
entirety,0,0,0,0,0,0,0,0
blending,1,0,0,0,0,0,0,0
blending,0,0,0,0,0,0,0,0
blending,0,0,0,0,1,0,0,1
lanky,0,0,0,0,0,0,0,0
lanky,0,0,0,0,0,2,0,0
lanky,0,0,0,0,0,1,0,0
lanky,0,0,0,0,0,0,0,0
lanky,0,0,0,0,0,0,0,0
playa,1,0,0,0,1,0,1,1
playa,0,0,0,0,0,1,0,0
playa,0,0,0,0,0,0,0,0
paraphrase,0,0,0,0,0,0,0,0
paraphrase,0,0,0,0,0,0,0,0
paraphrase,0,0,0,0,2,0,0,0
paraphrase,0,0,0,0,0,0,0,0
paraphrase,0,0,0,0,0,0,0,0
lingual,0,0,0,0,0,0,0,0
lingual,1,0,0,0,1,0,0,0
lingual,0,0,0,0,3,0,0,2
lingual,0,0,0,0,0,0,0,0
lingual,0,0,0,0,0,0,0,0
musician,1,0,0,0,0,0,0,0
musician,1,1,0,0,0,0,0,0
musician,0,0,0,0,0,0,0,0
fever,0,0,0,0,0,0,0,0
fever,0,0,0,0,0,0,0,0
fever,1,0,2,1,0,0,0,2
fever,1,0,3,1,1,3,2,1
fever,0,1,0,0,0,1,1,0
ambassador,0,1,1,0,2,0,1,2
ambassador,0,0,0,0,3,0,0,1
ambassador,0,0,0,0,1,0,0,0
ambassador,0,0,0,0,2,0,0,0
ambassador,1,0,0,0,2,0,0,0
ambassador,0,0,0,0,0,0,0,0
wrinkle,0,0,0,0,0,0,0,0
wrinkle,0,0,0,0,0,1,0,0
wrinkle,0,0,0,0,0,0,0,0
wrinkle,0,0,0,0,0,0,0,0
wrinkle,0,0,0,0,0,0,0,0
emeritus,0,0,0,0,0,0,0,0
emeritus,0,0,0,0,0,0,0,0
emeritus,0,0,0,0,2,0,0,0
emeritus,1,0,0,0,3,0,0,1
emeritus,0,0,0,0,1,0,0,0
ethanol,0,0,0,0,0,0,0,0
ethanol,0,0,0,0,0,0,0,0
ethanol,0,0,0,1,0,1,0,0
ethanol,0,0,0,0,0,0,0,1
ethanol,0,0,0,0,0,0,0,0
atonement,0,0,0,0,0,0,0,0
atonement,1,1,0,0,3,0,0,0
atonement,0,0,0,0,0,0,0,0
atonement,0,0,0,0,1,0,0,0
simmer,0,0,0,0,0,0,0,0
simmer,0,0,0,1,0,0,0,0
simmer,0,0,0,0,0,0,0,0
simmer,0,0,0,0,0,0,0,0
simmer,0,0,0,3,0,0,0,2
infuse,0,0,0,0,0,0,0,0
infuse,0,0,0,0,0,0,0,0
infuse,0,0,0,1,0,0,0,0
infuse,0,0,0,0,0,0,0,0
altercation,0,0,0,0,0,0,0,0
altercation,0,0,1,1,0,0,0,0
altercation,0,0,1,3,0,0,1,0
altercation,0,0,0,3,0,1,0,0
renegade,0,1,1,2,0,1,0,0
renegade,0,0,1,0,0,0,0,0
renegade,0,0,1,0,2,0,0,0
renegade,0,0,0,1,0,0,0,0
untidy,0,0,0,0,0,1,0,0
untidy,0,0,0,0,0,0,0,0
untidy,0,0,0,0,0,0,0,0
untidy,0,3,3,3,0,3,1,0
matron,0,0,0,0,0,0,0,0
matron,1,0,0,0,1,0,0,0
matron,0,0,0,0,0,0,0,0
class,0,0,0,0,0,0,0,0
class,0,0,0,0,0,0,0,0
class,0,0,0,0,0,0,0,0
class,0,0,0,0,1,0,0,0
reef,0,0,0,0,0,0,1,0
reef,1,0,0,0,3,0,1,1
reef,0,0,1,0,0,0,0,0
reef,1,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,1,2
hour,0,0,0,0,1,0,0,0
hour,0,0,0,0,1,0,0,0
hour,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,0,1
supervisor,0,0,0,0,0,0,0,0
supervisor,1,0,2,1,3,1,1,1
supervisor,0,0,0,0,0,0,0,0
supervisor,0,0,1,0,1,0,0,0
supervisor,0,0,0,0,2,0,0,0
theological,0,0,0,0,0,0,0,0
theological,1,1,1,0,3,0,0,0
theological,1,0,0,0,2,0,0,0
theological,0,0,1,1,1,2,0,0
theological,1,0,0,0,2,0,0,0
soap,1,0,0,0,0,1,0,0
soap,0,0,0,0,0,0,0,0
soap,0,0,0,0,0,0,0,0
soap,0,0,0,0,0,0,0,0
trench,0,0,0,0,0,0,0,0
trench,0,1,1,0,0,0,0,0
trench,0,2,3,2,1,2,0,3
trench,0,0,0,0,0,0,0,0
trench,0,1,2,1,0,0,0,1
freeze,0,0,0,0,0,0,0,0
freeze,0,0,0,0,0,0,0,0
freeze,1,0,0,0,0,0,0,0
freeze,0,0,0,0,0,0,0,0
freeze,0,1,0,0,0,0,0,0
pistol,0,0,0,1,0,0,0,0
pistol,0,0,0,0,0,0,0,0
pistol,0,0,1,0,0,0,0,0
pistol,0,0,0,0,0,0,0,0
pistol,0,0,0,1,0,1,0,0
vast,0,0,0,0,0,0,0,0
vast,0,0,0,0,0,0,0,0
vast,0,0,0,0,0,0,0,0
vast,0,0,0,0,0,0,0,0
vast,0,0,0,0,1,0,0,0
homogeneous,0,0,0,0,0,0,0,0
homogeneous,0,0,0,0,0,0,0,0
homogeneous,0,0,0,0,0,0,0,0
homogeneous,1,1,2,1,1,1,1,1
polite,0,0,0,0,0,0,0,0
polite,0,0,0,0,1,0,0,0
polite,1,0,0,0,1,0,0,0
beak,1,1,2,2,1,0,1,2
beak,0,0,0,0,0,0,0,0
beak,0,0,0,0,0,0,0,0
beak,0,0,0,0,0,0,0,0
beak,0,0,2,2,3,1,0,0
backbone,0,0,0,2,3,0,0,0
backbone,0,0,0,0,2,0,0,0
backbone,0,0,1,2,1,0,0,0
backbone,0,0,0,0,0,0,0,0
clue,0,0,0,0,0,0,0,0
clue,0,0,0,0,0,0,0,0
clue,1,0,0,0,1,0,1,2
clue,1,1,1,1,2,1,2,3
clue,1,1,2,1,2,0,2,3
holder,1,0,0,1,0,0,1,0
holder,0,0,0,0,1,0,0,0
holder,0,0,0,0,0,0,0,0
holder,0,0,0,0,0,0,0,0
holder,0,0,0,2,1,0,0,0
procrastination,0,0,0,0,0,0,0,2
procrastination,0,2,1,2,0,2,0,1
procrastination,0,0,0,0,0,0,0,0
procrastination,0,0,0,0,0,0,0,0
procrastination,0,0,0,0,0,0,0,0
pentagon,0,0,0,0,0,0,0,0
pentagon,0,0,0,0,0,0,0,0
pentagon,0,0,0,0,2,0,0,0
pentagon,0,0,0,0,0,0,0,0
appropriation,1,0,0,0,1,0,1,1
appropriation,1,0,0,0,1,0,0,1
appropriation,0,0,0,0,0,0,0,0
appropriation,0,0,0,0,0,0,0,2
appropriation,1,0,2,0,2,0,3,3
appropriation,0,0,0,0,0,1,0,1
appropriation,0,0,0,1,0,0,0,0
appropriation,0,0,0,0,0,0,0,0
appropriation,0,0,0,0,1,0,0,0
appropriation,1,1,1,0,1,1,0,3
appropriation,0,0,0,0,0,0,0,0
appropriation,0,0,0,0,2,0,2,3
appropriation,0,1,1,1,1,1,1,0
appropriation,1,0,0,0,0,0,0,0
appropriation,0,0,0,0,0,0,0,0
appropriation,0,0,0,0,0,0,0,0
appropriation,1,1,1,1,0,2,1,0
appropriation,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,0,0
loop,0,0,1,1,0,1,2,2
loop,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,0,0
economy,0,3,3,0,2,0,2,1
economy,0,0,0,0,2,0,0,0
economy,0,0,0,0,1,0,1,0
economy,0,0,0,0,0,0,0,0
